"item","definition","uni_lemma","type","IPA"
468,"say","say","word"," sˈeɪ"
469,"see","see","word"," sˈiː"
470,"shake","shake","word"," ʃˈeɪk"
471,"share","share","word"," ʃˈɛɹ"
472,"show","show","word"," ʃˈoʊ"
473,"sing","sing","word"," sˈɪŋ"
474,"sit","sit","word"," sˈɪt"
475,"skate","skate","word"," skˈeɪt"
476,"sleep","sleep","word"," slˈiːp"
477,"slide","slide (action)","word"," slˈaɪd"
478,"smile","smile","word"," smˈaɪl"
479,"spill","spill","word"," spˈɪl"
480,"splash","splash","word"," splˈæʃ"
481,"stand","stand","word"," stˈænd"
482,"stay","stay","word"," stˈeɪ"
483,"stop","stop","word"," stˈɑːp"
484,"sweep","sweep","word"," swˈiːp"
485,"swim","swim","word"," swˈɪm"
486,"swing","swing (action)","word"," swˈɪŋ"
487,"take","take","word"," tˈeɪk"
488,"talk","talk","word"," tˈɔːk"
489,"taste","taste","word"," tˈeɪst"
490,"tear","tear","word"," tˈɪɹ"
491,"think","think","word"," θˈɪŋk"
492,"throw","throw","word"," θɹˈoʊ"
493,"tickle","tickle","word"," tˈɪkəL"
494,"touch","touch","word"," tˈʌtʃ"
495,"wait","wait","word"," wˈeɪt"
496,"wake","wake","word"," wˈeɪk"
497,"walk","walk","word"," wˈɔːk"
498,"wash","wash","word"," wˈɑːʃ"
499,"watch","watch (action)","word"," wˈɑːtʃ"
500,"wipe","wipe","word"," wˈaɪp"
501,"wish","wish","word"," wˈɪʃ"
502,"work","work (action)","word"," wˈɜːk"
503,"write","write","word"," ɹˈaɪt"
504,"all gone","all gone","word"," ˈɔːl ɡˈɔn"
505,"asleep","asleep","word"," ɐslˈiːp"
506,"awake","awake","word"," ɐwˈeɪk"
507,"bad","bad","word"," bˈæd"
508,"better","better","word"," bˈɛɾɚ"
509,"big","big","word"," bˈɪɡ"
510,"black","black","word"," blˈæk"
511,"blue","blue","word"," blˈuː"
512,"broken","broken","word"," bɹˈoʊkən"
513,"brown","brown","word"," bɹˈaʊn"
514,"careful","careful","word"," kˈɛɹfəL"
515,"clean","clean (description)","word"," klˈiːn"
516,"cold","cold","word"," kˈoʊld"
517,"cute","cute","word"," kjˈuːt"
518,"dark","dark","word"," dˈɑːɹk"
519,"dirty","dirty","word"," dˈɜːɾi"
520,"dry","dry (description)","word"," dɹˈaɪ"
521,"empty","empty","word"," ˈɛmpti"
522,"fast","fast","word"," fˈæst"
523,"fine","fine","word"," fˈaɪn"
524,"first","first","word"," fˈɜːst"
525,"full","full","word"," fˈʊl"
526,"gentle","gentle","word"," dʒˈɛnɾəL"
527,"good","good","word"," ɡˈʊd"
528,"green","green","word"," ɡɹˈiːn"
529,"happy","happy","word"," hˈæpi"
530,"hard","hard","word"," hˈɑːɹd"
531,"heavy","heavy","word"," hˈɛvi"
532,"high","high","word"," hˈaɪ"
533,"hot","hot","word"," hˈɑːt"
534,"hungry","hungry","word"," hˈʌŋɡɹi"
535,"hurt","hurt (description)","word"," hˈɜːt"
536,"last","last","word"," lˈæst"
537,"little","little (description)","word"," lˈɪɾəL"
538,"long","long","word"," lˈɑːŋ"
539,"loud","loud","word"," lˈaʊd"
540,"mad","mad","word"," mˈæd"
541,"naughty","naughty","word"," nˈɔːɾi"
542,"new","new","word"," nˈuː"
543,"nice","nice","word"," nˈaɪs"
544,"noisy","noisy","word"," nˈɔɪsi"
545,"old","old","word"," ˈoʊld"
546,"orange","orange (description)","word"," ˈɔːɹɪndʒ"
547,"poor","poor","word"," pˈʊɹ"
548,"pretty","pretty","word"," pɹˈɪɾi"
549,"quiet","quiet","word"," kwˈaɪəɹt"
550,"red","red","word"," ɹˈɛd"
551,"sad","sad","word"," sˈæd"
552,"scared","scared","word"," skˈɛɹd"
553,"sick","sick","word"," sˈɪk"
554,"sleepy","sleepy","word"," slˈiːpi"
555,"slow","slow","word"," slˈoʊ"
556,"soft","soft","word"," sˈɔft"
557,"sticky","sticky","word"," stˈɪki"
558,"stuck","stuck","word"," stˈʌk"
559,"thirsty","thirsty","word"," θˈɜːsti"
560,"tiny","tiny","word"," tˈaɪni"
561,"tired","tired","word"," tˈaɪəɹd"
562,"wet","wet (description)","word"," wˈɛt"
563,"white","white","word"," wˈaɪt"
564,"windy","windy","word"," wˈɪndi"
565,"yellow","yellow","word"," jˈɛloʊ"
566,"yucky","yucky","word"," jˈuːki"
567,"after","after","word"," ˈæftɚ"
568,"before","before","word"," bɪfˈoːɹ"
569,"day","day","word"," dˈeɪ"
570,"later","later","word"," lˈeɪɾɚ"
571,"morning","morning","word"," mˈɔːɹnɪŋ"
572,"night","night","word"," nˈaɪt"
573,"now","now","word"," nˈaʊ"
574,"time","time","word"," tˈaɪm"
575,"today","today","word"," tədˈeɪ"
576,"tomorrow","tomorrow","word"," təmˈɔːɹoʊ"
577,"tonight","tonight","word"," tənˈaɪt"
578,"yesterday","yesterday","word"," jˈɛstɚdˌeɪ"
579,"he","he","word"," hˈiː"
580,"her","her","word"," hˈɜː"
581,"hers","hers","word"," hˈɜːz"
582,"him","him","word"," hˈɪm"
583,"his","his","word"," hˈɪz"
584,"I","i","word"," ˈaɪ"
